ID,Short citation,Year,Full citation,N. of catchments,Approach,Model,Tracers,Other tracers,Flow type,Main landscape element
21,"Birch et al., b",2021,"Birch, A.L., Stallard, R.F., Bush, S.A., Barnard, H.R., 2021b. The influence of land cover and storm magnitude on hydrologic flowpath activation and runoff generation in steep tropical catchments of central Panama. Journal of Hydrology 596, 126138. https://doi.org/10.1016/j.jhydrol.2021.126138",2,E,,Ions,,S+SS,H+C
22,Biron et al.,1999,"Biron, P.M., Roy, A.G., Courschesne, F., Hendershot, W.H., Côté, B., Fyles, J., 1999. The effects of antecedent moisture conditions on the relationship of hydrology to hydrochemistry in a small forested watershed. Hydrological Processes 13, 1541–1555. https://doi.org/10.1002/(SICI)1099-1085(19990815)13:11<1541::AID-HYP832>3.0.CO;2-J",1,E,,,,S,C
23,"Blume et al., a",2008,"Blume, T., Zehe, E., Bronstert, A., 2008a. Investigation of runoff generation in a pristine, poorly gauged catchment in the Chilean Andes II: Qualitative and quantitative use of tracers at three spatial scales. Hydrological Processes 22, 3676–3688. https://doi.org/10.1002/hyp.6970",1,E,,Ions+EC,,S+SS,C
24,"Blume et al., b",2008,"Blume, T., Zehe, E., Reusser, D.E., Iroumé, A., Bronstert, A., 2008b. Investigation of runoff generation in a pristine, poorly gauged catchment in the Chilean Andes I: A multi?method experimental study. Hydrological Processes 22, 3661–3675. https://doi.org/10.1002/hyp.6971",1,E,,Ions+EC,,S+SS,C
25,Boggs et al.,2013,"Boggs, J., Sun, G., Jones, D., McNulty, S.G., 2013. Effect of Soils on Water Quantity and Quality in Piedmont Forested Headwater Watersheds of North Carolina. Journal of American Water Resources Association 49, 132–150. https://doi.org/10.1111/jawr.12001",6,E,,,,S,H+C
26,Bombino et al.,2021,"Bombino, G., Pérez-Cutillas, P., D’Agostino, D., Denisi, P., Labate, A., Martínez-Salvador, A., Zema, D.A., Zimbone, S.M., Conesa-García, C., 2021. Comparing the Hydrological Response of Forested Headwaters (Unregulated and Regulated with Check Dams) under Mediterranean Semi-Arid Conditions. Water 13, 1275. https://doi.org/10.3390/w13091275",3,M,HEC-HMS + MUSLE,,,S,C
27,Boulet et al.,2021,"Boulet, A.-K., Prats, S.A., Malvar, M.C., González-Pelayo, O., Coelho, C.O.A., Ferreira, A.J.D., Keizer, J.J., 2015. Surface and subsurface flow in eucalyptus plantations in north-central Portugal. Journal of Hydrology and Hydromechanics 63, 193–200. https://doi.org/10.1515/johh-2015-0015",2,E,,,,S,C
28,Boulet et al.,2015,"Boulet, A.-K., Rial-Rivas, M.E., Ferreira, C., Coelho, C.O.A., Kalantari, Z., Keizer, J.J., Ferreira, A.J.D., 2021. Hydrological Processes in Eucalypt and Pine Forested Headwater Catchments within Mediterranean Region. Water 13, 1418. https://doi.org/10.3390/w13101418",1,E,,,,S+SS,H
29,Brown and Schoups,2015,"Brown, K.J., Schoups, G., 2015. Multi-millennial streamflow dynamics in two forested watersheds on Vancouver Island, Canada. Quaternary Research 83, 415–426. https://doi.org/10.1016/j.yqres.2015.03.003",2,M,Water balance model,,,S,C
30,Burns and McDonnell,1998,"Burns, D.A., McDonnell, J.J., 1998. Effects of a beaver pond on runoff processes: comparison of two headwater catchments. Journal of Hydrology 205, 248–264. https://doi.org/10.1016/S0022-1694(98)00081-X",2,E,,Iso+Ions,,S,C
31,Burns et al.,2001,"Burns, D.A., McDonnell, J.J., Hooper, R.P., Peters, N.E., Freer, J.E., Kendall, C., Beven, K., 2001. Quantifying contributions to storm runoff through end?member mixing analysis and hydrologic measurements at the Panola Mountain Research Watershed (Georgia, USA). Hydrological Processes 15, 1903–1924. https://doi.org/10.1002/hyp.246",1,E,,Ions,,S+SS,H+C
32,Buttle et al.,2001,"Buttle, J.M., Lister, S.W., Hill, A.R., 2001. Controls on runoff components on a forested slope and implications for N transport. Hydrological Processes 15, 1065–1070. https://doi.org/10.1002/hyp.450",1,E,,Ions,,SS,H
33,Buttle and Peters,1997,"Buttle, J.M., Peters, D.L., 1997. Inferring hydrological processes in a temperate basin using isotopic and geochemical hydrograph separation: a re-evaluation. Hydrological Processes 11, 557–573. https://doi.org/10.1002/(SICI)1099-1085(199705)11:6<557::AID-HYP477>3.0.CO;2-Y",2,E,,Iso+Ions,,S+SS,H+C
34,Butzen et al.,2014,"Butzen, V., Seeger, M., Wirtz, S., Huemann, M., Mueller, C., Casper, M., Ries, J.B., 2014. Quantification of Hortonian overland flow generation and soil erosion in a Central European low mountain range using rainfall experiments. Catena 113, 202–212. https://doi.org/10.1016/j.catena.2013.07.008",3,E,,,,S,C
35,Buzek et al.,1995,"Buzek, E., Hruska, J., Kram, P., 1995. Three-component model of runoff generation, Lysina catchment, Czech Republic. Water, Air, Soil Pollution, 79, 391–408. https://doi.org/10.1007/BF01100449",1,E,,Iso,,S,C
36,Caballero et al.,2012,"Caballero, L.A., Rimmer, A., Easton, Z.M., Steenhuis, T.S., 2012. Rainfall Runoff Relationships for a Cloud Forest Watershed in Central America: Implications for Water Resource Engineering. Journal of American Water Resources Association 48, 1022–1031. https://doi.org/10.1111/j.1752-1688.2012.00668.x",4,E,,,,S,C
37,Carey and Woo,1999,"Carey, S.K., Woo, M.-K., 1999. Hydrology of two slopes in subarctic Yukon, Canada. Hydrological Processes 13, 2549–2562. https://doi.org/10.1002/(SICI)1099-1085(199911)13:16<2549::AID-HYP938>3.0.CO;2-H",1,E+M,,,,S+SS,H
38,?ernohous et al.,2010,"?ernohous, V., Šach, F., Kacálek, D., 2010. Effects of drainage treatment and stand growth on changes in runoff components from a forested watershed. Journal of Forest Sciences 56, 307–313. https://doi.org/10.17221/103/2009-JFS",1,E,,,,S,C
39,Chen et al.,2010,"Chen, X., Cheng, Q., Chen, Y.D., Smettem, K., Xu, C., 2010. Simulating the integrated effects of topography and soil properties on runoff generation in hilly forested catchments, South China. Hydrological Processes 24, 714–725. https://doi.org/10.1002/hyp.7509",2,M,TOPMODEL (modified),,,S,C
40,Cheng et al.,2009,"Cheng, J., Zhang, H., Zhang, Y., Shi, Y., Cheng, Y., 2009. Effects of preferential flow on soil-water and surface runoff in a forested watershed in China. Frontiers in Forestry China 4, 132–139. https://doi.org/10.1007/s11461-009-0026-2",1,E,,,,S+SS,C
41,Chiphang et al.,2020,"Chiphang, N., Bandyopadhyay, A., Bhadra, A., 2020. Assessing the Effects of Snowmelt Dynamics on Streamflow and Water Balance Components in an Eastern Himalayan River Basin Using SWAT Model. Environmental Modelling and Assessment, 25, 861–883. https://doi.org/10.1007/s10666-020-09716-8",1,M,SWAT,,,S,C
42,Clark et al.,2017,"Clark, G.E., Ahn, K.-H., Palmer, R.N., 2017. Assessing a Regression-Based Regionalization Approach to Ungauged Sites with Various Hydrologic Models in a Forested Catchment in the Northeastern United States. Journal of Hydrological Engineering 22, 05017027. https://doi.org/10.1061/(ASCE)HE.1943-5584.0001582",3,M,HBV+HSPF,,,S,C
43,Clark et al.,2014,"Clark, K.E., Torres, M.A., West, A.J., Hilton, R.G., New, M., Horwath, A.B., Fisher, J.B., Rapp, J.M., Robles Caceres, A., Malhi, Y., 2014. The hydrological regime of a forested tropical Andean catchment. Hydrology and Earth System Sciences 18, 5377–5397. https://doi.org/10.5194/hess-18-5377-2014",2,E,,Iso,,S,C
44,Coles et al.,2016,"Coles, A.E., Wetzel, C.E., Martínez?Carreras, N., Ector, L., McDonnell, J.J., Frentress, J., Klaus, J., Hoffmann, L., Pfister, L., 2016. Diatoms as a tracer of hydrological connectivity: are they supply limited? Ecohydrology 9, 631–645. https://doi.org/10.1002/eco.1662",1,E,,,,S,C
45,Connon et al.,2015,"Connon, R.F., Quinton, W.L., Craig, J.R., Hanisch, J., Sonnentag, O., 2015. The hydrology of interconnected bog complexes in discontinuous permafrost terrains. Hydrological Processes 29, 3831–3847. https://doi.org/10.1002/hyp.10604",1,E,,,,S,C
46,Cowie et al.,2017,"Cowie, R.M., Knowles, J.F., Dailey, K.R., Williams, M.W., Mills, T.J., Molotch, N.P., 2017. Sources of streamflow along a headwater catchment elevational gradient. Journal of Hydrology 549, 163–178. https://doi.org/10.1016/j.jhydrol.2017.03.044",2,E,,Iso+Ions,,S,C
47,Cui et al.,2024,"Cui, Z., Tian, F., Zhao, Z., Xu, Z., Duan, Y., Wen, J., Khan, M.Y.A., 2024. Bimodal hydrographs in a semi-humid forested watershed: characteristics and occurrence conditions. Hydrol. Earth Syst. Sci. 28, 3613–3632. https://doi.org/10.5194/hess-28-3613-2024",1,E,,Iso,,S+SS,C
48,Cuomo and Guida,2016,"Cuomo, A., Guida, D., 2016. Using hydro-chemograph analyses to reveal runoff generation processes in a Mediterranean catchment: Ciciriello Catchment Hydro-chemical Analysis. Hydrological Processes 30, 4462–4476. https://doi.org/10.1002/hyp.10935",1,E,,EC,,S,C
49,Curtu et al.,2014,"Curtu, R., Mantilla, R., Fonley, M., Cunha, L.K., Small, S.J., Jay, L.O., Krajewski, W.F., 2014. An integral-balance nonlinear model to simulate changes in soil moisture, groundwater and surface runoff dynamics at the hillslope scale. Advances in Water Resources 71, 125–139. https://doi.org/10.1016/j.advwatres.2014.06.003",1,M,ODE,,,SS,H
50,David et al.,2019,"David, P.C., Oliveira, D.Y., Grison, F., Kobiyama, M., Chaffe, P.L.B., 2019. Systematic increase in model complexity helps to identify dominant streamflow mechanisms in two small forested basins. Hydrological Sciences Journal 64, 455–472. https://doi.org/10.1080/02626667.2019.1585858",2,M,SUPERFLEX,,,S,C
51,Demers et al.,2021,"Demers, D.J., Green, M.B., Bailey, S.W., 2021. Semi?Automated Characterization of Streamwater Specific Conductivity Response to Storms. Journal of American Water Resources Association 57, 844–857. https://doi.org/10.1111/1752-1688.12941",1,E+M,No name EC model,EC,,S,C
52,Detty and McGuire,2010,"Detty, J.M., McGuire, K.J., 2010. Topographic controls on shallow groundwater dynamics: implications of hydrologic connectivity between hillslopes and riparian zones in a till mantled catchment. Hydrological Processes 24, 2222–2236. https://doi.org/10.1002/hyp.7656",1,E,,,,SS,C
53,Deutscher et al.,2014,"Deutscher, J., Kupec, P., 2014. Monitoring and validating the temporal dynamics of interday streamflow from two upland head micro-watersheds with different vegetative conditions during dry periods of the growing season in the Bohemian Massif, Czech Republic. Environmental Monitoring and Assessing 186, 3837–3846. https://doi.org/10.1007/s10661-014-3661-5",2,E,,,,S,C
54,Deutscher et al.,2016,"Deutscher, J., Kupec, P., Dundek, P., Holík, L., Machala, M., Urban, J., 2016. Diurnal dynamics of streamflow in an upland forested micro?watershed during short precipitation?free periods is altered by tree sap flow. Hydrological Processes 30, 2042–2049. https://doi.org/10.1002/hyp.10771",1,E,,,,S,C
55,Devine et al.,2021,"Devine, W.D., Steel, E.A., Foster, A.D., Minkova, T.V., Martens, K.D., 2021. Watershed characteristics influence winter stream temperature in a forested landscape. Aquatic Sciences 83, 45. https://doi.org/10.1007/s00027-021-00802-x",54,E,,Temp,,S,C
56,Devito et al.,2005,"Devito, K.J., Creed, I.F., Fraser, C.J.D., 2005. Controls on runoff from a partially harvested aspen?forested headwater catchment, Boreal Plain, Canada. Hydrological Processes 19, 3–25. https://doi.org/10.1002/hyp.5776",1,E,,,,S+SS,C
57,DeWalle et al.,1997,"DeWalle, D.R., Edwards, P.J., Swistock, B.R., Aravena, R., Drimmie, R.J., 1997. Seasonal isotope hydrology of three Appalachian forest catchments. Hydrological Processes 11, 1895–1906. https://doi.org/10.1002/(SICI)1099-1085(199712)11:15<1895::AID-HYP538>3.0.CO;2-#",3,E,,Iso,,S,C
58,Dhakal and Sullivan,2012,"Dhakal, A.S., Sullivan, K., 2014. Shallow groundwater response to rainfall on a forested headwater catchment in northern coastal California: implications of topography, rainfall, and throughfall intensities on peak pressure head generation. Hydrological Processes 28, 446–463. https://doi.org/10.1002/hyp.9542",1,E,,,,SS,C
59,Di Prima et al.,2023,"Di Prima, S., Fernandes, G., Marras, E., Giadrossich, F., Stewart, R.D., Abou Najm, M.R., Winiarski, T., Mourier, B., Angulo-Jaramillo, R., Comegna, A., Del Campo, A., Lassabatere, L., 2023. Evaluating subsurface flow connectivity in a pine-covered hillslope with stemflow infiltration and ground-penetrating radar surveys. Journal of Hydrology 620, 129527. https://doi.org/10.1016/j.jhydrol.2023.129527",1,E,,,,SS,H
60,Donnelly-Makowecki et al.,1999,"Donnelly-Makowecki, L.M., Moore, R.D., 1999. Hierarchical testing of three rainfall–runoff models in small forested catchments. Journal of Hydrology 219, 136–152. https://doi.org/10.1016/S0022-1694(99)00056-6",2,M,TOPMODEL + Lumped 2-reservoir model + lumped 3-reservoir model,,,S,C
61,Du et al.,2016,"Du, E., Link, T.E., Gravelle, J.A., Hubbart, J.A., 2014. Validation and sensitivity test of the distributed hydrology soil-vegetation model (DHSVM) in a forested mountain watershed. Hydrological Processes 28, 6196–6210. https://doi.org/10.1002/hyp.10110",3,E,,,,SS,H
