ID,Short citation,Year,Full citation,N. of catchments,Approach,Model,Tracers,Other tracers,Flow type,Main landscape element
91,Glaser et al.,2019,"Glaser, B., Jackisch, C., Hopp, L., Klaus, J., 2019. How Meaningful are Plot-Scale Observations and Simulations of Preferential Flow for Catchment Models? Vadose Zone Journal, 18: 1-18 180146. https://doi.org/10.2136/vzj2018.08.0146",1,E+M,HydroGeoSphere,,,S+SS,H+C
92,Glaser et al.,2016,"Glaser, B., Klaus, J., Frei, S., Frentress, J., Pfister, L., Hopp, L., 2016. On the value of surface saturated area dynamics mapped with thermal infrared imagery for modeling the hillslope-riparian-stream continuum. Water Resources Research52, 8317–8342. https://doi.org/10.1002/2015WR018414",1,E+M,HydroGeoSphere,,,S,C
93,Godsey ,2004,"Godsey, S., Elsenbeer, H., Stallard, R., 2004. Overland flow generation in two lithologically distinct rainforest catchments. Journal of Hydrology 295, 276–290. https://doi.org/10.1016/j.jhydrol.2004.03.014",2,E,,,,S,C
94,Gokbulak ,2015,"Gökbulak, F., ?engönül, K., Serengil, Y., Yurtseven, ?., Özhan, S., Cigizoglu, H.K., Uygur, B., 2015. Comparison of Rainfall-Runoff Relationship Modeling using Different Methods in a Forested Watershed. Water Resources Management 29, 4229–4239. https://doi.org/10.1007/s11269-015-1056-1",1,M,statistical method + artificial neural network method,,,S,C
95,Gomi ,2010,"Gomi, T., Asano, Y., Uchida, T., Onda, Y., Sidle, R.C., Miyata, S., Kosugi, K., Mizugaki, S., Fukuyama, T., Fukushima, T., 2010. Evaluation of storm runoff pathways in steep nested catchments draining a Japanese cypress forest in central Japan: a geochemical approach. Hydrological Processes 24, 550–566. https://doi.org/10.1002/hyp.7550",7,E,,Iso,,S,H
96,Gomi et al.,2008,"Gomi, T., Sidle, R.C., Ueno, M., Miyata, S., Kosugi, K., 2008. Characteristics of overland flow generation on steep forested hillslopes of central Japan. Journal of Hydrology 361, 275–290. https://doi.org/10.1016/j.jhydrol.2008.07.045",4,E,,,,S,H
97,Goodbrand et al.,2019,"Goodbrand, A., Westbrook, C.J., Van Der Kamp, G., 2019. Hydrological functions of a peatland in a Boreal Plains catchment. Hydrological Processes 33, 562–574. https://doi.org/10.1002/hyp.13343",1,E,,Iso,,S+SS,C
98,Gootman and Hubbart,2021,"Gootman, K.S., Hubbart, J.A., 2021. Rainfall, runoff and shallow groundwater response in a mixed?use, agro?forested watershed of the northeast, USA. Hydrological Processes 35, e14312. https://doi.org/10.1002/hyp.14312",8,E,,,,S+SS,C
99,Griffin et al.,2014,"Griffin, M.P., Callahan, T.J., Vulava, V.M., Williams, T.M., 2014. Storm?event flow pathways in lower coastal plain forested watersheds of the southeastern United States. Water Resources Research 50, 8265–8280. https://doi.org/10.1002/2014WR015941",3,E,,Ions,,S,C
100,Guo et al.,2018,"Guo, L., Fan, B., Zhang, J., Lin, H., 2018. Occurrence of subsurface lateral flow in the Shale Hills Catchment indicated by a soil water mass balance method. European Journal of Soil Science 69, 771–786. https://doi.org/10.1111/ejss.12701",1,E+M,soil water mass balance-based,,,S,C
101,Guyo et al.,2024,"Guyo, R.H., Wang, K., Saito, M., Onodera, S., Shimizu, Y., Moroizumi, T., 2024. Spatiotemporal shallow and deep groundwater dynamics in a forested mountain catchment with diverse slope gradients, western Japan. Groundwater for Sustainable Development 25, 101150. https://doi.org/10.1016/j.gsd.2024.101150",1,M,SWAT + CN-SCS,,,SS,C
102,Haas et al.,2022,"Haas, H., Kalin, L., Srivastava, P., 2022. Improved forest dynamics leads to better hydrological predictions in watershed modeling. Science of The Total Environment 821, 153180. https://doi.org/10.1016/j.scitotenv.2022.153180",2,M,SWAT,,,S,C
103,Haas et al.,2024,"Haas, H., Kalin, L., Yen, H., 2024. Improved forest canopy evaporation leads to better predictions of ecohydrological processes. Ecological Modelling 489, 110620. https://doi.org/10.1016/j.ecolmodel.2024.110620",6,M,SWAT,,,S,C
104,Haga et al.,2005,"Haga, H., Matsumoto, Y., Matsutani, J., Fujita, M., Nishida, K., Sakamoto, Y., 2005. Flow paths, rainfall properties, and antecedent soil moisture controlling lags to peak discharge in a granitic unchanneled catchment. Water Resources Research 41, 2005WR004236. https://doi.org/10.1029/2005WR004236",1,E,,,,S+SS,C
105,Han et al.,2020,"Han, X., Liu, J., Srivastava, P., Mitra, S., He, R., 2020. Effects of critical zone structure on patterns of flow connectivity induced by rainstorms in a steep forested catchment. Journal of Hydrology 587, 125032. https://doi.org/10.1016/j.jhydrol.2020.125032",1,E,,,,S+SS,C
106,Hartmann et al.,2023,"Hartmann, A., Payeur-Poirier, J.-L., Hopp, L., 2023. Incorporating experimentally derived streamflow contributions into model parameterization to improve discharge prediction. Hydrol. Earth Syst. Sci. 27, 1325–1341. https://doi.org/10.5194/hess-27-1325-2023",1,E+M,HBV,Ions+EC,,S+SS,C
107,Heller and Kleber,2016,"Heller, K., Kleber, A., 2016. Hillslope runoff generation influenced by layered subsurface in a headwater catchment in Ore Mountains, Germany. Environment and Earth Sciece 75, 943. https://doi.org/10.1007/s12665-016-5750-y",1,E,,,,SS,H
108,Hemr et al.,2023,"Hemr, O., Vichta, T., Brychtová, M., Kupec, P., Žižlavská, N., Tomášová, G., Deutscher, J., 2023. Stemflow infiltration hotspots near-tree stems along a soil depth gradient in a mixed oak–beech forest. Eur J Forest Res 142, 1385–1400. https://doi.org/10.1007/s10342-023-01592-7",1,E,,,,SS,H
109,Herrmann and Duncker,2008,"Herrmann, A., Duncker, D., 2008. Runoff formation in a tile-drained agricultural basin of the Harz Mountain Foreland, Northern Germany. Soil Water Research 3, 83–97. https://doi.org/10.17221/20/2008-SWR",1,E,,,,S+SS,C
110,Hinkley et al.,2014,"Hinckley, E.S., Ebel, B.A., Barnes, R.T., Anderson, R.S., Williams, M.W., Anderson, S.P., 2014. Aspect control of water movement on hillslopes near the rain–snow transition of the Colorado Front Range. Hydrological Processes 28, 74–85. https://doi.org/10.1002/hyp.9549",1,E+M,Hydrus-1D,Ions,,SS,H
111,Hogan and Blum,2003,"Hogan, J.F., Blum, J.D., 2003. Tracing hydrologic flow paths in a small forested watershed using variations in87 Sr/86 Sr, [Ca]/[Sr], [Ba]/[Sr] and ?18 O. Water Resources Research 39, 2002WR001856. https://doi.org/10.1029/2002WR001856",1,E,,Iso+Ions,,S,C
112,Holko et al.,2011,"Holko, L., Kostka, Z., Šanda, M., 2011. Assessment of frequency and areal extent of overland flow generation in a forested mountain catchment. Soil Water Research 6, 43–53. https://doi.org/10.17221/33/2010-SWR",1,E,,Iso,,S,C
113,Howard et al.,2010,"Howard, A.J., Bonell, M., Gilmour, D., Cassells, D., 2010. Is rainfall intensity significant in the rainfall–runoff process within tropical rainforests of northeast Queensland? The Hewlett regression analyses revisited. Hydrological Processes 24, 2520–2537. https://doi.org/10.1002/hyp.7694",2,E,,,,S,C
114,Hudson et al.,2021,"Hudson, D.T., Leach, J.A., Webster, K., Houle, D., 2021. Streamflow regime of a lake?stream system based on long?term data from a high?density hydrometric network. Hydrological Processes 35, e14396. https://doi.org/10.1002/hyp.14396",21,E,,,,S,C
115,Hunter et al.,2005,"Hunter, M.A., Quinn, T., Hayes, M.P., 2005. Low flow spatial characteristics in forested headwater channels of southwest Washington. Journal of American Water Resources Association 41, 503–516. https://doi.org/10.1111/j.1752-1688.2005.tb03751.x",1,E,,,,S,C
116,Huntington and Shanley,2022,"Huntington, T.G., Shanley, J.B., 2022. A systematic increase in the slope of the concentration discharge relation for dissolved organic carbon in a forested catchment in Vermont, USA. Science of the Total Environment 844, 156954. https://doi.org/10.1016/j.scitotenv.2022.156954",1,E, ,,,S,C
117,Hwang et al.,2012,"Hwang, T., Band, L.E., Vose, J.M., Tague, C., 2012. Ecosystem processes at the watershed scale: Hydrologic vegetation gradient as an indicator for lateral hydrologic connectivity of headwater catchments. Water Resources Research 48, 2011WR011301. https://doi.org/10.1029/2011WR011301",20,E+M,RHESSys+TOPMODEL,,,S+SS,C
118,Hwang et al.,2023,"Hwang, T., Band, L.E., Oishi, A.C., Kang, H., 2023. Greenup Variability Impact on Seasonal Streamflow and Soil Moisture Dynamics in Humid, Temperate Forests. Water Resources Research 59, e2022WR034125. https://doi.org/10.1029/2022WR034125",8,E,,,,S,H+C
119,Im et al.,2020,"Im, S., Lee, J., Kuraji, K., Lai, Y.-J., Tuankrua, V., Tanaka, N., Gomyo, M., Inoue, H., Tseng, C.-W., 2020. Soil conservation service curve number determination for forest cover using rainfall and runoff data in experimental forests. Journal of Forest Research 25, 204–213. https://doi.org/10.1080/13416979.2020.1785072",8,M,SCS-CN,,,S,C
120,Iwasaki et al.,2021,"Iwasaki, K., Nagasaka, Y., Nagasaka, A., 2021. Geological Effects on the Scaling Relationships of Groundwater Contributions in Forested Watersheds. Water Resources Research 57, e2021WR029641. https://doi.org/10.1029/2021WR029641",6,E,,,,SS,C
121,James et al.,2010,"James, A.L., McDonnell, J.J., Tromp?van Meerveld, I., Peters, N.E., 2010. Gypsies in the palace: experimentalist’s view on the use of 3?D physics?based simulation of hillslope hydrological response. Hydrological Processes 24, 3878–3893. https://doi.org/10.1002/hyp.7819",1,M,TOUGH 2,,,S+SS,H
122,James and Roulet,2006,"James, A.L., Roulet, N.T., 2006. Investigating the applicability of end?member mixing analysis (EMMA) across scale: A study of eight small, nested catchments in a temperate forested watershed. Water Resources Research 42, 2005WR004419. https://doi.org/10.1029/2005WR004419",8,E,,Ions+EC,,S+SS,C
123,James and Roulet,2007,"James, A.L., Roulet, N.T., 2007. Investigating hydrologic connectivity and its association with threshold change in runoff response in a temperate forested watershed. Hydrological Processes 21, 3391–3408. https://doi.org/10.1002/hyp.6554",1,E,,,,S+SS,C
124,James and Roulet,2009,"James, A.L., Roulet, N.T., 2009. Antecedent moisture conditions and catchment morphology as controls on spatial patterns of runoff generation in small forest catchments. Journal of Hydrology 377, 351–366. https://doi.org/10.1016/j.jhydrol.2009.08.039",8,E,,Iso+Ions,,S+SS,C
125,Jaskierniak et al.,2019,"Jaskierniak, D., Kuczera, G., Benyon, R.G., Haydon, S., Lane, P.N.J., 2019. Top-down seasonal streamflow model with spatiotemporal forest sapwood area. Journal of Hydrology 568, 372–384. https://doi.org/10.1016/j.jhydrol.2018.10.075",3,M,ABCF,,,S,C
126,Jensen et al.,2017,"Jensen, C.K., McGuire, K.J., Prince, P.S., 2017. Headwater stream length dynamics across four physiographic provinces of the Appalachian Highlands. Hydrological Processes 31, 3350–3363. https://doi.org/10.1002/hyp.11259",12,E,,,,S,C
127,Johnson et al.,2022,"Johnson, B.G., Morris, C.S., Mase, H.L., Whitehouse, P.S., Paradise, C.J., 2022. Seasonal flashiness and high frequency discharge events in headwater streams in the North Carolina Piedmont (United States). Hydrological Processes 36, e14550. https://doi.org/10.1002/hyp.14550",4,E,,EC,,S,C
128,Juez et al.,2021,"Juez, C., Peña-Angulo, D., Khorchani, M., Regüés, D., Nadal-Romero, E., 2021. 20-Years of hindsight into hydrological dynamics of a mountain forest catchment in the Central Spanish Pyrenees. Science of the Total Environment 766, 142610. https://doi.org/10.1016/j.scitotenv.2020.142610",1,E,,,,S,C
129,Kabeya et al.,2008,"Kabeya, N., Shimizu, A., Nobuhiro, T., Tamai, K., 2008. Preliminary study of flow regimes and stream water residence times in multi-scale forested watersheds of central Cambodia. Paddy Water Environ 6, 25–35. https://doi.org/10.1007/s10333-008-0104-3",4,E,,,,S,C
130,Karagül and Çitgez,2019,"Karagül, R., Çitgez, T., 2019. Estimation of peak runoff and frequency in an ungauged stream of a forested watershed for flood hazard mapping. Journal of Forest Research 30, 555–564. https://doi.org/10.1007/s11676-018-0650-5",1,M,SCS-CN,,,S,C
131,Karlsten et al.,2016,"Karlsen, R.H., Grabs, T., Bishop, K., Buffam, I., Laudon, H., Seibert, J., 2016. Landscape controls on spatiotemporal discharge variability in a boreal catchment. Water Resources Research 52, 6541–6556. https://doi.org/10.1002/2016WR019186",1,E,,,,S,C
132,Katsuyama and Ohte,2001,"Katsuyama, M., Ohte, N., Kobashi, S., 2001. A three?component end?member analysis of streamwater hydrochemistry in a small Japanese forested headwater catchment. Hydrological Processes 15, 249–260. https://doi.org/10.1002/hyp.155",1,E,,Ions,,S,C
133,Katsuyama and Ohte,2002,"Katsuyama, M., Ohte, N., 2002. Determining the sources of stormflow from the fluorescence properties of dissolved organic carbon in a forested headwater catchment. Journal of Hydrology 268, 192–202. https://doi.org/10.1016/S0022-1694(02)00175-0",1,E,,Ions,,S+SS,C
134,Kinal and Stoneman,2012,"Kinal, J., Stoneman, G.L., 2012. Disconnection of groundwater from surface water causes a fundamental change in hydrology in a forested catchment in south-western Australia. Journal of Hydrology 472–473, 14–24. https://doi.org/10.1016/j.jhydrol.2012.09.013",1,E,,,,S+SS,C
135,Kinnard et al.,2022,"Kinnard, C., Bzeouich, G., Assani, A., 2022. Impacts of summer and winter conditions on summer river low flows in low elevation, snow-affected catchments. Journal of Hydrology 605, 127393. https://doi.org/10.1016/j.jhydrol.2021.127393",10,E,,,,S,C
136,Kinnard et al.,2024,"Kinnard, C., Nemri, S., Assani, A., 2024. Mechanisms of spring freshet generation in southern Quebec, Canada. Canadian Water Resources Journal / Revue canadienne des ressources hydriques 49, 421–440. https://doi.org/10.1080/07011784.2024.2375346",10,E+M,Statistical,,,S,C
137,Kirchner,2020,"Kirchner, J.W., Godsey, S.E., Solomon, M., Osterhuber, R., McConnell, J.R., Penna, D., 2020. The pulse of a montane ecosystem: coupling between daily cycles in solar flux, snowmelt, transpiration, groundwater, and streamflow at Sagehen Creek and Independence Creek, Sierra Nevada, USA. Hydrology and Earth System Sciences 24, 5095–5123. https://doi.org/10.5194/hess-24-5095-2020",2,E,,,,S+SS,C
138,"Klaus et al., a",2015,"Klaus, J., McDonnell, J.J., Jackson, C.R., Du, E., Griffiths, N.A., 2015a. Where does streamwater come from in low-relief forested watersheds? A dual-isotope approach. Hydrology and Earth System Sciences 19, 125–135. https://doi.org/10.5194/hess-19-125-2015",3,E,,Iso,,S,C
139,"Klaus et al., b",2015,"Klaus, J,, Wetzel, C.E., Martínez?Carreras, N., Ector, L., Pfister, L., 2015b. A tracer to bridge the scales: on the value of diatoms for tracing fast flow path connectivity from headwaters to meso?scale catchments. Hydrological Processes 29, 5275–5289. https://doi.org/10.1002/hyp.10628",7,E,,Others,Diatoms,S,C
140,Koivusalo et al.,2000,"Koivusalo, H., Karvonen, T., Lepistö, A., 2000. A quasi-three-dimensional model for predicting rainfall-runoff processes in a forested catchment in Southern Finland, Hydrology and Earth System Sciences, 4, 65–78, https://doi.org/10.5194/hess-4-65-2000.",1,M,,,,S+SS,C
141,Koivusalo and Kokkonen,2003,"Koivusalo, H., Kokkonen, T., 2003. Modelling runoff generation in a forested catchment in southern Finland. Hydrological Processes 17, 313–328. https://doi.org/10.1002/hyp.1126",1,M,CPM,,,S+SS,C
142,Kokkonen et al.,2006,"Kokkonen, T., Koivusalo, H., Laurén, A., Penttinen, S., Starr, M., Kellomäki, S., Finér, L., 2006. Implications of processing spatial data from a forested catchment for a hillslope hydrological model. Ecological Modelling 199, 393–408. https://doi.org/10.1016/j.ecolmodel.2006.04.026",2,M,CPM,,,S+SS,H
143,Krogh et al.,2017,"Krogh, S.A., Pomeroy, J.W., Marsh, P., 2017. Diagnosis of the hydrology of a small Arctic basin at the tundra-taiga transition using a physically based hydrological model. Journal of Hydrology 550, 685–703. https://doi.org/10.1016/j.jhydrol.2017.05.042",1,M,Cold Regions Hydrological Model,,,SS,C
144,Kubota and Sivapalan,1995,"Kubota, J., Sivapalan, M., 1995. Towards a catchment-scale model of subsurface runoff generation based on synthesis of small-scale process-based modelling and field studies. Hydrological Processes, 9: 541-554. https://doi.org/10.1002/hyp.3360090506",1,E+M,Distributed model,,,S+SS,H+C
145,Kubota and Tsuboyama,2003,"Kubota, T., Tsuboyama, Y., 2003. Intra- and inter-storm oxygen-18 and deuterium variations of rain, throughfall, and stemflow, and two-component hydrograph separation in a small forested catchment in Japan. Journal of Forest Research 8, 179–190. https://doi.org/10.1007/s10310-002-0024-9",1,E,,Iso,,S,C
146,Kushwaha and Jain,2013,"Kushwaha, A., Jain, M.K., 2013. Hydrological Simulation in a Forest Dominated Watershed in Himalayan Region using SWAT Model. Water Resour Manage 27, 3005–3023. https://doi.org/10.1007/s11269-013-0329-9",1,M,SWAT,,,S,C
147,La Torre Torres et al.,2011,"La Torre Torres, I.B., Amatya, D.M., Sun, G., Callahan, T.J., 2011. Seasonal rainfall–runoff relationships in a lowland forested watershed in the southeastern USA. Hydrological Processes 25, 2032–2045. https://doi.org/10.1002/hyp.7955",1,E,,,,S,C
148,Lafevor et al.,2021,"LaFevor, M.C., Ramos-Scharrón, C.E., 2021. Effects of Hillslope Trenching on Surface Water Infiltration in Subalpine Forested Catchments. Hydrology 8, 147. https://doi.org/10.3390/hydrology8040147",1,E+M,Infiltration model,,,S+SS,C
149,Lange et al.,1996,"Lange, H., Lischeid, G., Hoch, R., Hauhs, M., 1996. Water flow paths and residence times in a small headwater catchment at Gårdsjön, Sweden, during steady state storm flow conditions. Water Resources Research 32, 1689–1698. https://doi.org/10.1029/96WR00501",1,E,,Ions,,S+SS,C
150,Lange and Haensler,2012,"Lange, J., Haensler, A., 2012. Runoff generation following a prolonged dry period. Journal of Hydrology 464–465, 157–164. https://doi.org/10.1016/j.jhydrol.2012.07.010",1,E,,,,S,C
151,Latron and Gallart,1995,"Latron, J., Gallart, F., 1995. Hydrological response of two nested small Mediterranean basins presenting various degradation states. Physics and Chemistry of the Earth 20, 369–374. https://doi.org/10.1016/0079-1946(95)00050-X",2,E,,,,S,C
152,Laudon et al.,2007,"Laudon, H., Sjöblom, V., Buffam, I., Seibert, J., Mörth, M., 2007. The role of catchment scale and landscape characteristics for runoff generation of boreal streams. Journal of Hydrology 344, 198–209. https://doi.org/10.1016/j.jhydrol.2007.07.010",15,E,,Iso,,S+SS,C
153,Leach and Moore,2021,"Leach, J.A., Moore, R.D., 2015. Observations and modeling of hillslope throughflow temperatures in a coastal forested catchment. Water Resources Research 51, 3770–3795. https://doi.org/10.1002/2014WR016763",2,E+M,Temperature model,Temp,,S,C
154,Leach et al.,2015,"Leach, J.A., Neilson, B.T., Buahin, C.A., Moore, R.D., Laudon, H., 2021. Lake Outflow and Hillslope Lateral Inflows Dictate Thermal Regimes of Forested Streams Draining Small Lakes. Water Resources Research 57, e2020WR028136. https://doi.org/10.1029/2020WR028136",1,M,Temp model; SWAT; CEQUEAU; HSPF; LARSIM-WT; MIKE-SHE,,,SS,H
155,Leach et al.,2024,"Leach, J.A., Webster, K.L., Hudson, D.T., Buttle, J., Nehemy, M., 2024. Zero?Flow Dynamics for Headwater Streams in a Humid Forested Landscape. Hydrological Processes 38, e70025. https://doi.org/10.1002/hyp.70025",13,E+M,HBV-EC (for snow) + statistical,,,S,C
156,Lee et al.,2020,"Lee, R.M., McGuire, K.J., Strahm, B.D., Knoepp, J.D., Jackson, C.R., Stewart, R.D., 2020. Revisiting the Hewlett and Hibbert (1963) Hillslope Drainage Experiment and Modeling Effects of Decadal Pedogenic Processes and Leaky Soil Boundary Conditions. Water Resources Research 56, e2019WR025090. https://doi.org/10.1029/2019WR025090",1,E+M,HYDRUS 2D,,,SS,H
157,Lee et al.,2014,"Lee, S.H., Im, S., Gevaña, D., 2014. Assessing Rainfall Contribution to Storm Flow on a Small Forested Catchment in Republic of Korea. JESAM 17, 21–27. https://doi.org/10.47125/jesam/2014_1/03",1,M,TOPMODEL,,,S,C
158,Li et al.,2024,"Li, M., Yao, J., Yan, R., Fan, Y., Liu, S., 2024. Effect of slope position on the spatial distribution of soil preferential flow paths based on point pattern analysis. PLoS ONE 19, e0315660. https://doi.org/10.1371/journal.pone.0315660",1,E,,Others,Dye,SS,H
159,Lin,2006,"Lin, H., 2006. Temporal Stability of Soil Moisture Spatial Pattern and Subsurface Preferential Flow Pathways in the Shale Hills Catchment. Vadose Zone Journal 5, 317–340. https://doi.org/10.2136/vzj2005.0058",1,E,,,,S+SS,C
160,Lin et al.,2006,"Lin, H.S., Kogelmann, W., Walker, C., Bruns, M.A., 2006. Soil moisture patterns in a forested catchment: A hydropedological perspective. Geoderma 131, 345–368. https://doi.org/10.1016/j.geoderma.2005.03.013",1,E,,,,S+SS,C
161,Liu et al.,2008,"Liu, F., Bales, R.C., Conklin, M.H., Conrad, M.E., 2008. Streamflow generation from snowmelt in semi?arid, seasonally snow?covered, forested catchments, Valles Caldera, New Mexico. Water Resources Research 44, 2007WR006728. https://doi.org/10.1029/2007WR006728",2,E,,Ions+EC,,S+SS,C
162,Loukas and Dalezios,2000,"Loukas, A., Dalezios, N.R., 2000. Response Time of Forested Mountainous Watersheds in Humid Regions. Hydrology Research 31, 149–168. https://doi.org/10.2166/nh.2000.0010",2,M,,,,S+SS,C
163,Lu et al.,2024,"Lu, S., Liu, M., Yi, J., Li, S., Xu, Y., Zhang, H., Ding, F., 2024. Lateral partition patterns and controlling factors of soil infiltration at a steep, near-stream, and humid hillslope scale. Catena 239, 107917. https://doi.org/10.1016/j.catena.2024.107917",1,E,,,,SS,H
164,Macchioli Grande et al.,2024,"Macchioli Grande, M., Kaffas, K., Verdone, M., Borga, M., Cocozza, C., Dani, A., Errico, A., Fabiani, G., Gourdol, L., Klaus, J., Manca Di Villahermosa, F.S., Massari, C., Murgia, I., Pfister, L., Preti, F., Segura, C., Tailliez, C., Trucchi, P., Zuecco, G., Penna, D., 2024. Seasonal meteorological forcing controls runoff generation at multiple scales in a Mediterranean forested mountain catchment. Journal of Hydrology 639, 131642. https://doi.org/10.1016/j.jhydrol.2024.131642",1,E,,EC,,S+SS,H
165,Maclean et al.,1995,"Maclean, R.A., English, M.C., Schiff, S.L., 1995. Hydrological and hydrochemical response of a small canadian shield catchment to late winter rain?on?snow events. Hydrological Processes 9, 845–863. https://doi.org/10.1002/hyp.3360090803",1,E,,Ions,,S,C
166,Mahmood and Vivoni,2014,"Mahmood, T.H., Vivoni, E.R., 2014. Forest ecohydrological response to bimodal precipitation during contrasting winter to summer transitions. Ecohydrology 7, 998–1013. https://doi.org/10.1002/eco.1424",1,E+M,Triangulated Irregular Network-based Real-time Integrated Basin Simulator distributed hydrologic model,,,SS,H
167,Marc et al.,2001,"Marc, V., Didon-Lescot, J.-F., Michael, C., 2001. Investigation of the hydrological processes using chemical and isotopic tracers in a small Mediterranean forested catchment during autumn recharge. Journal of Hydrology 247, 215–229. https://doi.org/10.1016/S0022-1694(01)00386-9",1,E,,Iso+Ions,,S,C
168,Martinez-Carreras et al.,2015,"Martínez-Carreras, N., Wetzel, C.E., Frentress, J., Ector, L., McDonnell, J.J., Hoffmann, L., Pfister, L., 2015. Hydrological connectivity inferred from diatom transport through the riparian-stream system. Hydrology and Earth System Sciences 19, 3133–3151. https://doi.org/10.5194/hess-19-3133-2015",1,E,,Others,Diatoms,S+SS,C
169,McDonnell et al.,2021,"McDonnell, J.J., Gabrielli, C., Ameli, A., Ekanayake, J., Fenicia, F., Freer, J., Graham, C., McGlynn, B., Morgenstern, U., Pietroniro, A., Sayama, T., Seibert, J., Stewart, M., Vache, K., Weiler, M., Woods, R., 2021. The Maimai M8 experimental catchment database: Forty years of process-based research on steep, wet hillslopes. Hydrological Processes 35, e14112. https://doi.org/10.1002/hyp.14112",1,E+M,TOPMODEL; others,Iso+Ions+EC,Dyes,S+SS,H+C
170,McGlynn et al.,2002,"McGlynn, B.L., McDonnel, J.J., Brammer, D.D., 2002. A review of the evolving perceptual model of hillslope flowpaths at the Maimai catchments, New Zealand. Journal of Hydrology 257 1-4.https://doi.org/10.1016/S0022-1694(01)00559-5",8,E+M,TOPMODEL; others,Iso+Ions+EC,Dyes,S+SS,H+C
171,Meaurio et al.,2015,"Meaurio, M., Zabaleta, A., Uriarte, J.A., Srinivasan, R., Antigüedad, I., 2015. Evaluation of SWAT models performance to simulate streamflow spatial origin. The case of a small forested watershed. Journal of Hydrology 525, 326–334. https://doi.org/10.1016/j.jhydrol.2015.03.050",1,E+M,SWAT,,,S,C
172,Miralha et al.,2023,"Miralha, L., Wissler, A.D., Segura, C., Bladon, K.D., 2023. Characterizing stream temperature hysteresis in forested headwater streams. Hydrological Processes 37, e14795. https://doi.org/10.1002/hyp.14795",10,E,,,,S,C
173,Mirus et al.,2011,"Mirus, B.B., Ebel, B.A., Heppner, C.S., Loague, K., 2011. Assessing the detail needed to capture rainfall?runoff dynamics with physics?based hydrologic response simulation. Water Resources Research 47, 2010WR009906. https://doi.org/10.1029/2010WR009906",2,M,InHM,,,S,C
174,Mirus and Loague,2013,"Mirus, B.B., Loague, K., 2013. How runoff begins (and ends): Characterizing hydrologic response at the catchment scale. Water Resources Research 49, 2987–3006. https://doi.org/10.1002/wrcr.20218",2,M,InHM,,,S,C
175,Miyata et al.,2019,"Miyata, S., Gomi, T., Sidle, R.C., Hiraoka, M., Onda, Y., Yamamoto, K., Nonoda, T., 2019. Assessing spatially distributed infiltration capacity to evaluate storm runoff in forested catchments: Implications for hydrological connectivity. Science of the Total Environment 669, 148–159. https://doi.org/10.1016/j.scitotenv.2019.02.453",5,E+M,Topography-based hydrol model,,,S+SS,C
176,Miyata et al.,2010,"Miyata, S., Kosugi, K., Nishi, Y., Gomi, T., Sidle, R.C., Mizuyama, T., 2010. Spatial pattern of infiltration rate and its effect on hydrological processes in a small headwater catchment. Hydrological Processes 24, 535–549. https://doi.org/10.1002/hyp.7549",1,E,,,,S+SS,H+C
177,Moore and Jones,2011,"Moore, G.W., Jones, J.A., Bond, B.J., 2011. How soil moisture mediates the influence of transpiration on streamflow at hourly to interannual scales in a forested catchment. Hydrological Processes 25, 3701–3710. https://doi.org/10.1002/hyp.8095",1,E,,,,S,C
178,Moore,1997,"Moore, R.D., 1997. Storage-outflow modelling of streamflow recessions, with application to a shallow-soil forested catchment. Journal of Hydrology 198, 260–270. https://doi.org/10.1016/S0022-1694(96)03287-8",1,M,Two linear reservoir model,,,S,C
179,Momiyama et al.,2023,"Momiyama, H., Kumagai, T., Fujime, N., Egusa, T., Shimizu, T., 2023. Forest canopy interception can reduce flood discharge: Inferences from model assumption analysis. Journal of Hydrology 623, 129843. https://doi.org/10.1016/j.jhydrol.2023.129843",1,M,Canopy interception model + TOPMODEL,,,S,C
180,Mulungu et al.,2005,"Mulungu, D.M.M., Ichikawa, Y., Shiiba, M., 2005. A physically based distributed subsurface–surface flow dynamics model for forested mountainous catchments. Hydrological Processes 19, 3999–4022. https://doi.org/10.1002/hyp.5868",1,M,DSFDM,,,S+SS,C
181,Munoz-Villers and McDonnell,2012,"Muñoz?Villers, L.E., McDonnell, J.J., 2012. Runoff generation in a steep, tropical montane cloud forest catchment on permeable volcanic substrate. Water Resources Research 48, 2011WR011316. https://doi.org/10.1029/2011WR011316",1,E,,Iso,,S,C
182,Musolff et al.,2021,"Musolff, A., Zhan, Q., Dupas, R., Minaudo, C., Fleckenstein, J.H., Rode, M., Dehaspe, J., Rinke, K., 2021. Spatial and Temporal Variability in Concentration?Discharge Relationships at the Event Scale. Water Resources Research 57, e2020WR029442. https://doi.org/10.1029/2020WR029442",2,E,,Ions+EC,,S,C
183,Nam et al.,2023,"Nam, S., Lim, H., Choi, B., Li, Q., Moon, H., Choi, H.T., 2023. Responses of Stream Water Temperature to Water Levels in Forested Catchments of South Korea. Forests 14, 2085. https://doi.org/10.3390/f14102085",22,E,,,,S,C
184,Nam et al.,2024,"Nam, S., Lim, H., Choi, B., Li, Q., Moon, H., Choi, H.T., 2024. Characteristics and Estimation of the Time of Concentration for Small Forested Catchments in Steep Mountainous Terrain. Forests 15, 186. https://doi.org/10.3390/f15010186",39,E+M,Statistical model,,,S,C
