,,,,,,,,,,Runoff processes,,,,,,,,,,,,,,,,,,,Thresholds,,,,,,,,,,,,,,,,,,Maximum contribution of streamflow components (%),,,,,,,,,Controlling factors on SATURATION excess overland flow generation,,,,,,,,,Controlling factors on INFILTRATION excess overland flow generation,,,,,,,,Controlling factors on subsurface flow generation,,,,,,,,,,Controlling factors on stream runoff magnitude,,,,,,,,,,,,,Controlling factors on subsurface hydrological connectivity,,,,,,,,Model Temp scale,,Factors affecting model performance,,,,,,,,,,,,,,,,,
Catchment name,Size (km2),Climate class,MAP (mm),Country,Continent,Forest type,Longitude,Latitude,References,Ch. Precip,SEOF,IEOF,SubFlow,Slow/deep SubFlow,Return flow/interflow,Vertical flow,Lateral flow,Preferential flow (no specifica vert/lat),Macropore flow (no specifical vert/lat),Vertical preferential flow,Lateral preferential flow,Pipe flow,Matrix flow,(Perched) WT/GW dynamics and changes in GW storage,Filling of subsurface depressions /fill and spill,Subsurface hillslope-stream connectivity,Water movement through bedrock or at the soil/bedrock interface (either SubFlow or GW rise),Dynamics of saturated areas,Thresholds,Soil moisture- streamflow threshold,Soil moisture and rainfall -streamflow threshold,Subsurface connectivity - streamflow threshold,Rainfall-Subsurface connectivity threshold,Soil moisture -groundwater threshold,Rainfall - growundwater threshold,Rainfall - streamflow threshold,Groundwater - streamflow threshold,Soil moisture-subsurface flow threshold,Rainfall -suburface flow threshold,Streamflow-EC trheshold,Rainfall -new water threshold,New water - streamflow threshold,Soil moisture -ET threshold,Catchment area - streamflow threshold,Soil moisture -  overland flow threshold,Rainfall - overland flow threshold,Rainfall,Snow/Snowmelt,Throughfall,Soil  water,Groundwater and springs,Overland flow and surface water,Subsurface water,Event water ,Pre-event water,Storm characteristics (intensity/amount),Groundwater dynamics,Wetness conditions,Soil repellency,Soil impervouness,Soil Organic layer ,Ksat (soil conductivity),Understory vegetation,Geomorphic features (including riparian area) and microtopography and macrotopography,Storm characteristics (intensity/amount),Groundwater dynamics,Wetness conditions,Soil impervouness/repellency (including hydrophobicity and frozen soil),Soil Organic layer ,Ksat (soil conductivity),Understory vegetation,Geomorphic features (including riparian area) and microtopography and macrotopography (linear structures),Preferential flow,Rainfall Amount,Rainfall Intensity,Antecedent conditions,"Hydraulic conductivity, soil horizons, mineral/organic layers, infiltration capacity",Macropore/mesopore shape/extension,Soil depth,"Living/decayed roots, pipes and soil cracks","Topographic properties (slope, TWI, hillslope morphology)","Bedrock leackage, bedrock topography, bedrock fracturation",Precipitation amount*,Precipitation intensity,Precipitation  seasonality,Snowmelt volume,"SWE, snow depth and properties","Antecedent soil moisture, soil moisture deficit and saturation patterns",Antecedent water table depth and storage,"Forest type, interception and tree transpiration","Geological, topographic and geomorphological  setting","Catchment elevation for snowmelt and reduction ET, temp",Catchment size and/or stream (network) size,"Soil properties (including frozen soil, soil depth, ksat and hydrophobicity)",Hydrological connectivity,Rainfall/snowmelt intensity,Hillslope/catchment topography,Saturation of riparian areas / high antecedent conditions,Overland flow,Permafrost patterns,Seasonality,Vegetation patterns,"Soil structure, impeding layers",Event scale/daily scale,Seasonal/annual/multi-annual scale,ET (including stomatal resistance),"LAI, biomass, vegetation height","Soil properties (hydraulic conduct., soil saturation, soil depth)","Temperature, Snowpack/snowmelt dynamics",Antecedent rainfall and rainfall amount,Antecedent water table,Antecedent soil moisture,Soil storage capacity,Topography and geology,Elevation,Flow along soil-bedrock interface,"Catchment size, spatial distribution Q or snowmelt in subcatchments",,,,,,
488,1.28,C,3145,USA,NA,0,-124.3116237,47.94552659,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,1.50,C,3145,USA,NA,0,-124.4063067,47.8460296,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,0.47,C,3145,USA,NA,0,-124.3812907,47.8428756,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,0.31,C,3145,USA,NA,0,-124.3762077,47.8445636,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,1.48,C,3145,USA,NA,0,-124.3492092,47.84321885,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,1.36,C,3145,USA,NA,0,-124.3633367,47.8439276,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,1.79,C,3145,USA,NA,0,-124.3753897,47.8421296,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,0.71,C,3145,USA,NA,0,-124.4047207,47.8196486,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,3.97,C,3145,USA,NA,0,-124.4022617,47.8155326,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,3.31,C,3145,USA,NA,0,-124.3868667,47.8089446,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,0.35,C,3145,USA,NA,0,-124.4571787,47.80596461,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,1.00,C,3145,USA,NA,0,-124.0199508,47.80896256,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,0.69,C,3145,USA,NA,0,-124.0122738,47.80721556,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,1.92,C,3145,USA,NA,0,-124.0082778,47.80708956,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,1.22,C,3145,USA,NA,0,-124.0794538,47.79617357,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,1.23,C,3145,USA,NA,0,-123.9627388,47.79265455,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,1.79,C,3145,USA,NA,0,-124.0955318,47.78776857,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,0.58,C,3145,USA,NA,0,-124.0706098,47.77766057,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,2.71,C,3145,USA,NA,0,-124.2485968,47.74671359,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,2.78,C,3145,USA,NA,0,-124.0161218,47.73387756,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,2.27,C,3145,USA,NA,0,-124.3060708,47.7467746,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,4.40,C,3145,USA,NA,0,-124.0380118,47.72757057,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,2.14,C,3145,USA,NA,0,-124.0784289,47.72874051,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,3.63,C,3145,USA,NA,0,-123.9538918,47.72788856,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,0.55,C,3145,USA,NA,0,-124.1530388,47.71946358,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,2.47,C,3145,USA,NA,0,-124.1471008,47.70930258,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,0.66,C,3145,USA,NA,0,-124.1769108,47.70538558,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,3.66,C,3145,USA,NA,0,-124.2436968,47.68445159,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,0.60,C,3145,USA,NA,0,-123.9756628,47.69959956,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,1.33,C,3145,USA,NA,0,-123.9607688,47.69713756,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,1.03,C,3145,USA,NA,0,-124.2481181,47.66747792,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,1.85,C,3145,USA,NA,0,-124.2696708,47.66593559,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,0.31,C,3145,USA,NA,0,-124.1403392,47.66426987,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,0.15,C,3145,USA,NA,0,-124.1732868,47.66713658,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,1.64,C,3145,USA,NA,0,-124.0762688,47.67326257,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,0.79,C,3145,USA,NA,0,-124.0695828,47.67033457,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,3.40,C,3145,USA,NA,0,-124.1870998,47.64802368,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,5.31,C,3145,USA,NA,0,-124.1059198,47.59903558,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,4.66,C,3145,USA,NA,0,-124.0870338,47.60490458,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,1.73,C,3145,USA,NA,0,-124.1427108,47.63643258,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,5.79,C,3145,USA,NA,0,-124.1620788,47.57265559,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,3.71,C,3145,USA,NA,0,-124.1593188,47.56718159,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Aw in the Westcreek Watershed,0.11,D,940,Canada,NA,0,-73.16861111,45.54694444,"James and Roulet, 2009; Segura et al., 2012",,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,25,31,98,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,
 Ef in the Westcreek Watershed,0.91,D,940,Canada,NA,0,-73.16861111,45.54694444,"James and Roulet, 2009; Segura et al., 2012",,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,6,19,91,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,
 Lk in the Westcreek Watershed,1.47,D,940,Canada,NA,0,-73.16861111,45.54694444,"James and Roulet, 2009; Segura et al., 2012",,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,20,24,99,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,
 Pw in the Westcreek Watershed,0.54,D,940,Canada,NA,0,-73.16861111,45.54694444,"James and Roulet, 2009; Segura et al., 2012",,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,26,28,84,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,
 Sb in the Westcreek Watershed,0.07,D,940,Canada,NA,0,-73.16861111,45.54694444,"James and Roulet, 2009; Segura et al., 2012",,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,68,10,99,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,
 Sc in the Westcreek Watershed,0.38,D,940,Canada,NA,0,-73.16861111,45.54694444,"James and Roulet, 2009; Segura et al., 2012",,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,33,13,98,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,
 Vc in the Westcreek Watershed,0.11,D,940,Canada,NA,0,-73.16861111,45.54694444,"James and Roulet, 2009; Segura et al., 2012",,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,16,57,97,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,
 Yv in the Westcreek Watershed,0.3,D,940,Canada,NA,0,-73.16861111,45.54694444,"James and Roulet, 2009; Segura et al., 2012",,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,34,5,83,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,
A1 ,0.05,C,1286,Japan,AS,2,136.965,35.16666667,"Subehi et al., 2010",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2 ,0.075,C,1286,Japan,AS,2,136.965,35.16666667,"Subehi et al., 2010",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3 ,0.03,C,1286,Japan,AS,2,136.965,35.16666667,"Subehi et al., 2010",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEW,0.139,C,1654,Japan,AS,1,137.1,35.25,"Im et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,,,,,,,,,
Agua Salut Mat,0.095,A,2657,Panama,SA,0,-79.74861111,9.216666667,"Birch et al., 2021, JoH, WRR",,,,1,,,,1,1,,1,1,,,1,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
